Location,01/19,02/19,03/19,04/19,05/19,06/19,07/19,08/19,09/19,10/19,11/19,12/19
R C Puram,97,84,88,91,88,75,77,74,54,79,91,97
Gaddapotharam,94,90,94,92,99,87,87,73,63,82,94,96
Sangareddy,80,69,78,77,77,72,63,54,48,70,81,81
Nalgonda,64,64,57,56,56,60,55,57,57,63,58,59
Choutuppal,61,60,62,61,60,63,60,61,61,68,62,61
Nizamabad,64,61,61,62,64,69,72,71,61,69,62,66
Adilabad,76,77,79,78,80,77,78,79,73,72,79,73
Boallaram,104,104,101,97,105,102,94,99,92,91,97,105
PETL,91,99,81,97,92,96,99,77,72,72,82,88
"Kuda, warangal",88,90,90,94,92,88,89,82,76,91,88,90
"Mee-Seva, Warangal",91,91,92,89,93,86,87,80,73,85,91,87
Godavarikhani,116,109,105,105,104,99,102,100,87,105,107,108
Karimnagar,104,102,103,109,103,99,100,99,97,102,105,112
Kothagudem,106,93,95,99,97,94,81,88,78,96,100,95
Khammam,94,90,91,90,88,81,77,84,78,86,85,84
Kothur,113,107,106,110,109,107,102,105,100,105,113,113
Balasamudram,96,90,89,87,92,82,84,79,79,83,90,89
Nakkalagutta,93,90,92,91,90,81,85,86,81,94,99,86
